Compound Name,Formula,Water Solubility (mg/L),Water Solubility (g/L)
"Acetamide, 2-(benzoyloxy)-N,n-Dimethyl-",C11H13NO3,8800,8.8
"Acetamide, 2-(benzoyloxy)-N,n-Dipropyl-",C15H21NO3,1100,1.1
"Acetamide, 2-(benzoyloxy)-n-Propyl-",C12H15NO3,640,0.64
"Acetamide-2-Chloro-n-(2,6-Dimethylphenyl)-n-((2-",C15H22ClNO2,59,0.059
"Acetamide, 2-Chloro-n-(chloroacetyl)-",C4H5Cl2NO2,1000,1
"Acetamide, 2-Cyano-",C3H4N2O,130000,130
"Acetamide, 2-Cyano-n-Methyl-n- (methylamino)carb",C6H9N3O2,230000,230
"Acetamide, 2-Cyano-n-Phenyl-",C9H8N2O,300,0.3
"Acetamide, N-(1,3-Dihydro-1-Oxo-6-Isobenzofurany",C10H9NO3,480,0.48
"Acetamide, N-(2-Amino-2-Oxoethyl)-2-(benzoyloxy)",C12H14N2O4,30200,30.2
"Acetamide, N-[2-(benzoyloxy)ethyl]-n-Methyl-",C12H15NO3,31300,31.3
"Acetamide, N-(2-Chlorophenyl)-2-Cyano-",C9H7ClN2O,980,0.98
"Acetamide, N-(2-Fluoro-4-Methylphenyl)-",C9H10FNO,3040,3.04
"Acetamide, N-(2-Hydroxyethyl)-",C4H9NO2,1000000,1000
"Acetamide, N-(3-Chlorophenyl)-2-Cyano-",C9H7ClN2O,460,0.46
"Acetamide, N-(3-Thioxo-3h-1,2,4-Dithiazol-5-Yl)-",C4H6N2OS3,800,0.8
"Acetamide, N- 4- (2-Pyridinylamino)sulfonyl Phen",C13H13N3O3S,56,0.056
"Acetamide, N-[4-[(2-Pyrimidinylamino)sulfonyl]ph",C12H12N4O3S,150,0.15
"Acetamide, N-[4-[(2-Thiazolylamino)sulfonyl]phen",C11H11N3O3S2,70,0.07
"Acetamide, N-[4-[[(4,6-Dimethyl-2-Pyrimidinyl)am",C14H16N4O3S,1150,1.15
"Acetamide, N-[4-[(4-Aminophenyl)sulfonyl]phenyl]",C14H14N2O3S,71,0.071
"Acetamide, N-[4-[[(4-Methyl-2-Pyrimidinyl)amino]",C13H14N4O3S,280,0.28
"Acetamide, N-[4-[[(4-Methyl-2-Thiazolyl)amino]su",C12H13N3O3S2,2200,2.2
"Acetamide, N-[4-[[(6-Chloro-3-Pyridazinyl)amino]",C12H11ClN4O3S,3600,3.6
"Acetamide, N-(4-Acetylphenyl)-",C10H11NO2,4220,4.22
"Acetamide, N-[4-(aminosulfonyl)phenyl]",C8H10N2O3S,5300,5.3
"Acetamide, N-(4-Chloro-2-Methylphenyl)-",C9H10ClNO,900,0.9
"Acetamide, N-(4-Chlorophenyl)-2-Cyano-",C9H7ClN2O,100,0.1
"Acetamide, N-(4-Ethoxy-2-Methylphenyl)-",C11H15NO2,2800,2.8
"Acetamide, N-(4-Ethoxyphenyl)-2-Hydroxy-",C10H13NO3,1530,1.53
"Acetamide, N-(4-Fluoro-2-Methylphenyl)-",C9H10FNO,7310,7.31
"Acetamide, N-(4-Hydroxyphenyl)",C8H9NO2,14000,14
"Acetamide, N-(4-Propoxyphenyl)-",C11H15NO2,170,0.17
"Acetamide, N-[4-[(pyrazinylamino)sulfonyl]phenyl",C12H12N4O3S,56,0.056
"Acetamide, N-[6,9-Dihydro-9-[(2-Hydroxyethoxy)me",C10H15N5O4,3220,3.22
"Acetamide, N-Acetyl-2-(benzoyloxy)-",C11H11NO4,880,0.88
"Acetamide, N-Acetyl-2-(benzoyloxy)-n-Methyl-",C12H13NO4,320,0.32
"Acetamide, N-Acetyl-2-Chloro-",C4H6ClNO2,4200,4.2
"Acetamide, N-Acetyl-n-(4-Ethoxyphenyl)-",C12H15NO3,2500,2.5
"Acetamide, N-(aminocarbonyl)-",C3H6N2O2,13000,13
"Acetamide, N,n'-1,2-Ethanediylbis-",C6H12N2O2,683000,683
"Acetamide, N,n'-(phenylmethylene)bis-",C11H14N2O2,10000,10
Acetamiprid,C10H11ClN4,4200,4.2
Acetanilide,C8H9NO,6390,6.39
"Acetanilide, 4'-(3-Pyridazinylsulfamoyl)-",C12H12N4O3S,1650,1.65
Acetazoleamide,C4H6N4O3S2,980,0.98
Acetic Acid,C2H4O2,1000000,1000
"Acetic Acid, 1-(3,4-Dichlorophenyl)-2,2,2-Trichl",C10H7Cl5O2,50,0.05
"Acetic Acid, 2,2'-[1,2-Ethanediylbis(sulfonyl)]b",C6H10O8S2,5080,5.08
"Acetic Acid, 2,2'-[1,3-Propanediylbis(thio)]bis-",C7H12O4S2,55000,55
"Acetic Acid, 2,2',2''-[1,2,3-Benzenetriyltris(ox",C12H12O9,13000,13
"Acetic Acid, 2,2',2''-[methylidynetris(thio)]tri",C7H10O6S3,10800,10.8
"Acetic Acid, 2,2'-Oxybis-",C4H6O5,417000,417
"Acetic Acid, 2,2'-Selenobis-",C4H6O4Se,658000,658
"Acetic Acid, 2,2'-Tetrathiobis-",C4H6O4S4,8700,8.7
"Acetic Acid, 2,2'-Thiobis-",C4H6O4S,400000,400
"Acetic Acid, (2,4-Dinitrophenoxy)-",C8H6N2O7,2800,2.8
"Acetic Acid, (2-Bromo-4,6-Dimethylphenoxy)-",C10H11BrO3,195,0.195
"Acetic Acid, [2-Methoxy-4-(1-Propenyl)phenoxy]-",C12H14O4,5810,5.81
"Acetic Acid, [2-Methoxy-4-(2-Propenyl)phenoxy]-",C12H14O4,1170,1.17
"Acetic Acid, 3-[4-(aminosulfonyl)phenyl]propyl E",C11H15NO4S,1600,1.6
"Acetic Acid, 3-[[5-(aminosulfonyl)-2-Thienyl]sul",C9H13NO6S3,920,0.92
"Acetic Acid, (3,5-Dimethylphenoxy)-",C10H12O3,800,0.8
"Acetic Acid, [(4-Bromophenyl)sulfonyl]-, Methyl",C9H9BrO4S,971,0.971
"Acetic Acid, 5-[4-(aminosulfonyl)phenyl]pentyl E",C13H19NO4S,1200,1.2
"Acetic Acid, [(aminothioxomethyl)thio]-",C3H5NO2S2,27000,27
"Acetic Acid, Bis(2-Carboxyphenyl)-",C16H12O6,950,0.95
"Acetic Acid, Chlorodifluoro-",C2HClF2O2,1000000,1000
"Acetic Acid, Cyano-, [3-(5-Nitro-2-Furanyl)-2-Pr",C10H8N4O4,44.2,0.0442
"Acetic Acid, (cyclopentyloxy)-",C7H12O3,20500,20.5
"Acetic Acid, Dibromo-",C2H2Br2O2,2110000,2110
"Acetic Acid, Dichloro-, [3-(5-Nitro-2-Furyl)ally",C9H7Cl2N3O4,20,0.02
"Acetic Acid, Difluoro-",C2H2F2O2,1000000,1000
"Acetic Acid, (nitrooxy)-, Ethyl Ester",C4H7NO5,2900,2.9
"Acetic Acid, Oxo(phenylamino)-",C8H7NO3,8240,8.24
"Acetic Acid, Tribromo-",C2HBr3O2,200000,200
"Acetic Acid, [(triphenylmethyl)thio]-",C21H18O2S,16.7,0.0167
Acetic Anhydride,C4H6O3,120000,120
Acetoacetic Acid,C4H6O3,1000000,1000
Acetoacetic Ester,C6H10O3,110000,110
Acetochlor,C14H20ClNO2,223,0.223
Acetoin,C4H8O2,1000000,1000
Acetone,C3H6O,1000000,1000
"Acetone, 4-(p-Nitrophenyl)semicarbazone",C10H12N4O3,60,0.06
Acetone Cyanohydrin,C4H7NO,1000000,1000
"Acetone, Semicarbazone",C4H9N3O,62200,62.2
Acetonitrile,C2H3N,1000000,1000
Acetophenone,C8H8O,6130,6.13
Acetrizoate Sodium,C9H5I3NNaO3,942000,942
Acetyl Benzoyl Peroxide,C9H8O4,639,0.639
Acetylene,C2H2,1200,1.2
Acetyleneurea,C4H6N4O2,1150,1.15
Acetylpyruvic Acid,C5H6O4,254000,254
Acetylsalicylic Acid,C9H8O4,4600,4.6
Acetyl Sulfisoxazole,C13H15N3O4S,37.1,0.0371
Acetyl Tributyl Citrate,C20H34O8,5,0.005
Acetyl Triethyl Citrate,C14H22O8,7200,7.2
Acid Blue 3,C54H66CaN4O14S4,20000,20
Acid Blue 7,C37H36N2NaO6S2,20000,20
Acid Blue 80,C32H28N2Na2O8S2,50000,50
Acid Blue 93 (disodium),C37H27N3Na2O9S3,70000,70
Acid Fuchsin,C20H17N3Na2O9S3,125000,125
Acid Green 1,C30H15FeN3Na3O15S3,30000,30
Acid Green 9,C37H34ClN2NaO6S2,50000,50
Acid Red 18,C20H11N2Na3O10S3,80000,80
Acid Red 52,C27H32N2O7S2,20000,20
Acid Yellow 9,C12H11N3O6S2,80000,80
Acifluorfen,C14H7ClF3NO5,120,0.12
Acifluorfen-Sodium,C14H6ClF3NNaO5,250000,250
Aclonifen,C12H9ClN2O3,2.5,0.0025
Aconitine,C34H47NO11,310,0.31
Acridine,C13H9N,38.4,0.0384
"Acridine, 3,6-Bis(dimethylamino)-",C17H19N3,700,0.7
Acriflavine,C14H14ClN3,250000,250
Acrinathrin,C26H21F6NO5,200,0.2
Acrolein,C3H4O,212000,212
Acrylamide,C3H5NO,390000,390
Acrylic Acid,C3H4O2,1000000,1000
"Acrylic Acid, 2,3-Dibromo-3-Chloro-",C3HBr2ClO2,26000,26
"Acrylic Acid, 3,3-Dibromo-2-Chloro-",C3HBr2ClO2,54300,54.3
Acrylonitrile,C3H3N,68900,68.9
Acyclovir,C8H11N5O3,1620,1.62
Adenine,C5H5N5,1030,1.03
"Adenosine, 1-Oxide",C10H13N5O5,6.94,0.00694
Adenosine Triphosphate,C10H16N5O13P3,1000000,1000
Adiponitrile,C6H8N2,80000,80
Adrenaline Tartrate (1:1),C13H19NO9,333000,333
A-Endosulfan,C9H6Cl6O3S,51,0.051
A-Estradiol,C18H24O2,3.9,0.0039
A-Glucose-1-Phosphate,C6H13O9P,1000000,1000
A-Hydroxyphenylacetic Acid,C8H8O3,181000,181
A-Hydroxypropionic Acid,C3H6O3,1000000,1000
Ajmaline,C20H28N2O2,490,0.49
Akh-7088,C19H16ClF3N2O7,1,0.001
Alachlor,C14H20ClNO2,240,0.24
Alanine,C3H7NO2,164000,164
"Alanine, 2-Methyl-",C4H9NO2,181000,181
"Alanine, 3,3'-(cis-Vinylenedithio)di-, L-",C8H14N2O4S2,300,0.3
"Alanine, 3,3'-(dichlorovinylenedithio)di-",C8H12Cl2N2O4S2,300,0.3
"Alanine, 3,3'-Diselenobis-",C6H12N2O4Se2,200,0.2
"Alanine, N-(2-Bromo-3-Methylbutyryl)-, Dl-",C8H14BrNO3,83000,83
"Alanine, N-(aminocarbonyl)-",C4H8N2O3,21700,21.7
"Alanine, N-(aminocarbonyl)-2-Methyl-",C5H10N2O3,10000,10
"Alanine, N,n'-1,2-Ethanediylbis[2-Methyl-",C10H20N2O4,2000,2
Alanycarb,C17H25N3O4S2,20,0.02
Albuterol,C13H21NO3,14100,14.1
Aldicarb,C7H14N2O2S,6030,6.03
Aldicarb Sulfone,C7H14N2O4S,10000,10
Aldicarb Sulfoxide,C7H14N2O3S,28000,28
Aldol,C4H8O2,1000000,1000
Aldosterone,C21H28O5,51.2,0.0512
Aldrin,C12H8Cl6,170,0.17
Aliskiren,C30H53N3O6,350000,350
Alizarin Complexone,C19H15NO8,6000,6
Alizarine,C14H8O4,400,0.4
Alkylbenzene (c10-C15),C18H30,100,0.1
Allantoin,C4H6N4O3,5260,5.26
Allaric Acid,C6H10O8,100000,100
Allethrin,C19H26O3,4.6,0.0046
Allicin,C6H10OS2,24000,24
Allobarbital,C10H12N2O3,1810,1.81
Allopurinol,C5H4N4O,569,0.569
"Allopurinol, 1-(1-Oxobutyl)-",C9H10N4O2,110,0.11
"Allopurinol, 1,5-Bis(butyryloxymethyl)-",C15H22N4O5,50,0.05
"Allopurinol,1,5-Bis(pivaloyloxymethyl)-",C17H26N4O5,20,0.02
"Allopurinol, 1-Acetyl-",C7H6N4O2,750,0.75
"Allopurinol, 1-[(acetyloxy)methyl]-",C8H8N4O3,580,0.58
"Allopurinol, 1-Benzoyl-",C12H8N4O2,14,0.014
"Allopurinol, 1-[benzoyloxymethyl]-",C13H10N4O3,24,0.024
"Allopurinol, 1-[nicotinoyloxymethyl]-",C12H9N5O3,93,0.093
"Allopurinol,1-[n,n-Diethylsuccinamyl-Oxymethyl]-",C14H19N5O4,33000,33
"Allopurinol, 1-(oxopropyl)-",C8H8N4O2,300,0.3
"Allopurinol,1-[pivaloyloxymethyl]-",C11H14N4O3,520,0.52
"Allopurinol, 2,5-Bis(butyryloxymethyl)-",C15H22N4O5,94,0.094
"Allopurinol,2,5-Bis(pivaloyloxymethyl)-",C17H26N4O5,45,0.045
Alloxantin,C8H6N4O8,2900,2.9
Alloxydim-Sodium,C17H24NNaO5,2000000,2000
Allura Red Ac,C18H14N2Na2O8S2,225000,225
Allyl Acetate,C5H8O2,28000,28
Allyl Alcohol,C3H6O,1000000,1000
Allylamine,C3H7N,1000000,1000
Allyl Ether,C6H10O,93600,93.6
Allylidenediacetate,C7H10O4,9000,9
Allylthiourea,C4H8N2S,59000,59
Allyxycarb [bsi:iso],C16H22N2O2,70,0.07
Aloin,C21H22O9,8300,8.3
Alpha-Aminobutyric Acid,C4H9NO2,211000,211
Alpha-Chlordane,C10H6Cl8,560,0.56
Alpha-Chlorotoluene,C7H7Cl,525,0.525
Alpha-Cypermethrin,C22H19Cl2NO3,100,0.1
".alpha.-d-Glucopyranoside, Methyl",C7H14O6,387000,387
Alpha-d-Glucose,C6H12O6,500000,500
".alpha.-Glucoforanose, 1,2:5,6-Bis-o-(1-Methylet",C12H20O6,42700,42.7
Alpha-Hexachlorocyclohexane,C6H6Cl6,2,0.002
Alpha-Ionone,C13H20O,106,0.106
Alpha-Methylbenzyl Alcohol,C8H10O,1950,1.95
Alpha-Methylene Butyrolactone,C5H6O2,150000,150
Alpha-Methylstyrene,C9H10,116,0.116
Alpha-Peltatin,C21H20O8,30,0.03
Alpha-Pinene,C10H16,2.49,0.00249
Alpha-Pinene Oxide,C10H16O,388,0.388
Alpha-Terpineol,C10H18O,7100,7.1
Altraric Acid,C6H10O8,7000,7
"Altraric Acid, D-",C6H10O8,333000,333
Amaranth,C20H11N2Na3O10S3,60000,60
Ambenonium Chloride,C28H42Cl4N4O2,1000000,1000
Ametryne,C9H17N5S,209,0.209
Amgard V6; Bcmp-Bcep,C13H24Cl6O8P2,232,0.232
Amicetin,C29H42N6O9,2000,2
Amidothion,C7H16NO4PS2,20000,20
Amikacin,C22H43N5O13,185000,185
Aminocarb,C11H16N2O2,915,0.915
Aminopyralid,C6H4Cl2N2O2,2480,2.48
Aminopyrine,C13H17N3O,54400,54.4
Aminotris(hydroxymethyl)methane,C4H11NO3,550000,550
Amisometradine,C9H13N3O2,20000,20
Amisulbrom,C13H13BrFN5O4S2,11,0.011
Amitraz,C19H23N3,1,0.001
Amitrole,C2H4N4,280000,280
Amitryptyline,C20H23N,9.71,0.00971
Ammonia,H3N,482000,482
Ammonium,H4N,10200,10.2
Ammonium Bicarbonate,CH5NO3,174000,174
Ammonium Bromide,H4BrN,764000,764
Ammonium Chloride,H4ClN,372000,372
"Ammonium Citrate, Dibasic",C6H14N2O7,500000,500
Ammonium Imazaquin,C17H20N4O3,16,0.016
Ammonium Oxalate,C2H8N2O4,50000,50
Ammonium Perchlorate,H4ClNO4,245000,245
Ammonium Salicylate,C7H9NO3,500000,500
Amobarbital,C11H18N2O3,603,0.603
Amoxicillin [usan],C16H19N3O5S,4000,4
Amphotericin B,C47H75NO17,750,0.75
Ampicillin,C16H19N3O4S,10100,10.1
Ampicillin Trihydrate,C16H19N3O4S,7560,7.56
Ampyrone,C11H13N3O,728000,728
Amsonic Acid,C14H14N2O6S2,650,0.65
Amyl Lactate,C8H16O3,10000,10
Amylocaine Hydrochloride,C14H22ClNO2,333000,333
Amyl Propionate,C8H16O2,810,0.81
Anabasine,C10H14N2,1000000,1000
Anastrozole,C17H19N5,500,0.5
Anatabine,C10H12N2,1000000,1000
Ancymidol,C15H16N2O2,650,0.65
Andrenosterone,C19H24O3,98.5,0.0985
Andromedotoxin,C22H36O7,28100,28.1
"Androst-5-En-17-One,3-(acetyloxy),3-Beta-",C21H30O3,11.5,0.0115
"Androstan-3-One, 17-Hydroxy-, (5alpha,17beta)-",C19H30O2,525000,525
Androstenedione,C19H26O2,57.8,0.0578
Androsterone,C19H30O2,12,0.012
Anethole,C10H12O,111,0.111
Angelica Lactone,C5H6O2,50000,50
Anilazine,C9H5Cl3N4,8,0.008
Aniline,C6H7N,36000,36
Aniline Hydrochloride,C6H8ClN,178000,178
Aniline Sulfate,C12H16N2O4S,66000,66
Anilofos,C13H19ClNO3PS2,13.6,0.0136
Anisic Acid,C24H24O9,90000,90
Anisole,C7H8O,1040,1.04
Anisomycin,C14H19NO4,6550,6.55
Antazoline,C17H19N3,663,0.663
Anthracene,C14H10,434,0.434
"Anthracene-1-Sulfonic Acid, 5-Chloro-9,10-Dioxo-",C14H7ClO5S,500000,500
Anthracene-9-Carboxylic Acid,C15H10O2,85,0.085
"Anthracene, 9-Nitro-",C14H9NO2,11.4,0.0114
Anthranol,C14H10O,3.59,0.00359
Anthraquinone,C14H8O2,1.35,0.00135
Antimony Potassium Tartrate,C8H4K2O12Sb2,52600,52.6
Antimony Potassium Tartrate [usan],C4H2KO6Sb,52600,52.6
Antimony Thioglycollamide,C6H12N3O3S3Sb,50000,50
Antipyrine,C11H12N2O,51900,51.9
Antor,C16H22ClNO3,105,0.105
Apazone,C16H20N4O2,147,0.147
Aphidan,C9H21O3PS3,1500,1.5
Aprobarbital,C10H14N2O3,4080,4.08
"Arabinoic Acid, 2,3:4,5-Di-o-Benzylidene-, D-",C19H18O6,1200,1.2
Arabinose,C5H10O5,500000,500
Arecoline,C8H13NO2,1000000,1000
Aretan,C3H7ClHgO,50000,50
Arginine,C6H14N4O2,182000,182
Aroclor 1016,C24H13Cl7,42,0.042
Aroclor 1221,C12H9Cl,15,0.015
Aroclor 1232,C12H9Cl,1.45,0.00145
Aroclor 1242,C12H6Cl4,27.7,0.0277
Aroclor 1248,C24H11Cl9,10,0.01
Aroclor 1254,C12H5Cl5,430,0.43
Aroclor 1260,C12H3Cl7,144,0.144
Arsenic Acid,H3AsO4,590000,590
Arsenic Trioxide,As2O3,17000,17
Ascorbic Acid,C6H8O6,400000,400
Asparagine,C4H8N2O3,29400,29.4
Aspartic Acid,C4H7NO4,5360,5.36
"Aspartic Acid, 3-Amino-",C4H8N2O4,620,0.62
Aspidospermine,C22H30N2O2,16700,16.7
Asulam,C8H10N2O4S,5000,5
Atenolol,C14H22N2O3,13300,13.3
Atratone,C9H17N5O,1800,1.8
Atrazine,C8H14ClN5,33,0.033
Atropic Acid,C9H8O2,1300,1.3
Atropine,C17H23NO3,2200,2.2
Atropine Methyl Bromide,C18H26BrNO3,500000,500
Aucubin,C15H22O9,356000,356
Aureomycin,C22H23ClN2O8,630,0.63
Aurintricarboxylic Acid,C22H14O9,7000,7
"Avenein, Thiosemicarbazone",C15H21N3O7S,500,0.5
Azaconazol,C12H13Cl2N3O2,300,0.3
Azacyclohexadecan-2-One,C15H29NO,320,0.32
Azacyclononadecan-2-One,C18H35NO,400,0.4
Azacyclotetradecan-2-One,C13H25NO,500,0.5
Azacyclotridecan-2-One,C12H23NO,290,0.29
Azacycloundecan-2-One,C10H19NO,2200,2.2
Azadirachtin,C35H44O16,260,0.26
Azafenidin,C15H13Cl2N3O2,16,0.016
Azamethiphos,C9H10ClN2O5PS,1100,1.1
"Azetidine, 1-[benzoyloxy(acetyl)]-",C12H13NO3,5400,5.4
Azidamfenicol,C11H13N5O5,20000,20
Azimsulfuron,C13H16N10O5S,1050,1.05
Azinphos Ethyl,C12H16N3O3PS2,10.5,0.0105
"Azinphos-Ethyl, O-Analog",C12H16N3O4PS,3350,3.35
Aziprotryne,C7H11N7S,55,0.055
Aziridine,C2H5N,1000000,1000
Azobenzene,C12H10N2,6.4,0.0064
Azocyclotin,C20H35N3Sn,12,0.012
Azodrin,C7H14NO5P,1000000,1000
Azo Dye N1,C21H20BrN7O6,68800,68.8
Azo Dye N2,C15H12ClN5O4,739,0.739
Azo Dye N5,C23H24N6O4,59000,59
Azo Dye Ra,C20H18N6O4S,69,0.069
Azoxystrobin,C22H17N3O5,6,0.006
"Azulene, 1,4-Dimethyl-7-(1-Methylethyl)-",C15H18,66.4,0.0664
"Azuleno[6,5-B]furan-2,6-(3h,4h)-Dione, 3a,7,7a,8",C15H20O4,3000,3
Barban,C11H9Cl2NO2,11,0.011
Barbital,C8H12N2O3,7460,7.46
Barbituric Acid,C4H4N2O3,190,0.19
"Barbituric Acid, 5-(2-Butenyl)-1,5-Dimethyl-",C10H14N2O3,6000,6
"Barbituric Acid, 5,5-Di-2-Butenyl-",C12H16N2O3,1500,1.5
"Barbituric Acid,5,5-Dibutyl-",C12H20N2O3,320,0.32
"Barbituric Acid,5,5-Dipr",C10H16N2O3,600,0.6
"Barbituric Acid, 5-Acetonyl-5-Ethyl-",C9H12N2O4,36400,36.4
"Barbituric Acid, 5-Bromo-5-Isopropyl-",C7H9BrN2O3,1540,1.54
"Barbituric Acid, 5-Et-5-Amyl",C11H18N2O3,1510,1.51
"Barbituric Acid,5-Et,5-Heptyl",C13H22N2O3,300,0.3
"Barbituric Acid,5et-5ibu",C10H16N2O3,1.53,0.00153
"Barbituric Acid, 5-Et,5-Pr",C9H14N2O3,8800,8.8
"Barbituric Acid, 5-Ipr",C7H10N2O3,5960,5.96
"Barbituric Acid,5-Me-5-Phenyl-",C11H10N2O3,760,0.76
Barium Acetate,C4H6BaO4,400000,400
Barium Formate,C2H2BaO4,200000,200
Barium Oxalate,C2BaO4,100,0.1
Bas 480f,C17H13ClFN3O,6.63,0.00663
Bas 490f,C18H19NO4,2,0.002
Basic Blue 26,C33H32ClN3,10000,10
Basic Blue 7,C33H40ClN3,10000,10
Basic Blue K,C29H32ClN3,4000,4
Basic Violet 1,C24H28ClN3,33000,33
Basic Yellow 2,C17H22ClN3,10000,10
Bayer 15080,C13H11N3O2,5,0.005
"B,b,b-Trichloro-T-Butanol",C4H7Cl3O,8000,8
Bcpc,C11H14ClNO2,153,0.153
Benalaxyl,C20H23NO3,37,0.037
Benazolin,C9H6ClNO3S,600,0.6
Benazolin-Ethyl,C11H10ClNO3S,47,0.047
Bendiocarb,C11H13NO4,260,0.26
Bendroflumethiazide,C15H14F3N3O4S2,108,0.108
Benefin,C13H16F3N3O4,10,0.01
Benfuracarb,C20H30N2O5S,8,0.008
Benfuresate,C12H16O4S,261,0.261
Benomyl,C14H18N4O3,3.8,0.0038
Benoxacor,C11H11Cl2NO2,20,0.02
Bensulfuron-Methyl (ph7),C16H18N4O7S,120,0.12
Bensulide,C14H24NO4PS3,25,0.025
Bensultap,C17H21NO4S4,75,0.075
Bentazone,C10H12N2O3S,500,0.5
Benz(a)anthracene,C18H12,9400,9.4
"Benz(a)anthracene-4,5-Dimethylene",C20H16,2720,2.72
"Benz[a]anthracene, 5-Fluoro-7-Methyl-",C19H13F,128,0.128
"Benz[a]anthracene, 6-Fluoro-7-Methyl-",C19H13F,128,0.128
Benz(a)anthracene-7-Methyl,C19H14,110,0.11
"Benz[a]anthracene, 8,9,10,11-Tetrahydro-7-Methyl",C19H18,440,0.44
"Benz[a]anthracene, 9-Fluoro-7-Methyl-",C19H13F,9450,9.45
"Benz(a,j)aceanthrylene",C24H14,1000,1
Benzaldehyde,C7H6O,6950,6.95
"Benzaldehyde, 2,5-Dimethoxy-",C9H10O3,795,0.795
"Benzaldehyde, 2-Amino-4-Hydroxy-3-Methoxy-",C8H9NO3,100000,100
"Benzaldehyde, 2-Ethoxy-",C9H10O2,1160,1.16
"Benzaldehyde, 2-Hydroxy-3,5-Diiodo-",C7H4I2O2,30,0.03
"Benzaldehyde, 3,4,5-Trimethoxy-",C10H12O4,1490,1.49
"Benzaldehyde, 3,4-Dimethoxy-",C9H10O3,6320,6.32
"Benzaldehyde, 3-Bromo-4-Hydroxy-",C7H5BrO2,1330,1.33
"Benzaldehyde, 3-Ethoxy-4-Hydroxy-",C9H10O3,2820,2.82
"Benzaldehyde, 3-Ethoxy-4-Hydroxy-, Semicarbazone",C10H13N3O3,350,0.35
"Benzaldehyde, 4-Ethoxy-3-Methoxy-",C10H12O3,1160,1.16
"Benzaldehyde, 4-Hydroxy-3-Methoxy-2-Methyl-",C9H10O3,7000,7
"Benzaldehyde, 4-Hydroxy-5-Methoxy-2-Methyl-",C9H10O3,300,0.3
"Benzaldehyde, 5-Bromo-2-Hydroxy-",C7H5BrO2,100,0.1
Benzamide,C7H7NO,13500,13.5
"Benzamide, 2-(2-Propenyloxy)-",C10H11NO2,1050,1.05
