Experiment Number (900 series refer to external references),sample or citation,ref,solute,solute SMILES,solvent,solvent SMILES,concentration (M),wiki page,gONS,notes,identifier,solute type,solubility - solute mass (g),solvent mass (g),solvent density (g/ml),solute density (g/ml) - from ChemSpider prediction,solvent volume (ml),solute volume (ml),total vol. (ml),solute MW,moles solute,calculated concentration (M)- assumes no expansion or contraction upon mixing,calc. conc. (M) from g/100ml,liquid at room temp (y/n),solute reacts with solvent,csid,TRUE,solubility g/l ,calculated conc in moles/liter,solubility mole fraction,solvent MW (g/mol)
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-diethylamino-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)N(CC)CC,water,O,0.00849180475,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10439507,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-dimethylamino-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)N(C)C,water,O,0.042461956395,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438513,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-ethylamino-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)NCC,water,O,0.005794286964,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438514,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-hydroxycyclohexyl) 2-(6-methoxynaphthalen-2-yl)propanoate,c21c(cc(cc1)OC)ccc(c2)C(C(=O)OC3C(CCCC3)O)C,water,O,0.000008433348,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8421434,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-methylamino-2-oxoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)NC,water,O,0.01914255925,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438089,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-methylphenyl) 4-methylbenzenesulfonate,S(=O)(=O)(c1ccc(cc1)C)Oc2c(cccc2)C,water,O,0.000114287833,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,193192,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-morpholin-4-yl-2-oxoethyl) benzoate,N2(C(=O)COC(=O)c1ccccc1)CCOCC2,water,O,0.016865530254,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,9440180,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-nitrooxycycloheptyl) nitrate,C1(C(O[N+](=O)[O-])CCCCC1)O[N+](=O)[O-],water,O,0.000952796164,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438631,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-nitrooxycyclohexyl) nitrate,C1(C(O[N+](=O)[O-])CCCC1)O[N+](=O)[O-],water,O,0.004497798549,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438209,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-oxo-2-piperidin-1-ylethyl) benzoate,N2(C(=O)COC(=O)c1ccccc1)CCCCC2,water,O,0.003155004623,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10439990,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-oxo-2-propylaminoethyl) benzoate,c1(ccccc1)C(=O)OCC(=O)NCCC,water,O,0.002890679882,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438986,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-oxo-2-pyrrolidin-1-ylethyl) benzoate,N2(C(=O)COC(=O)c1ccccc1)CCCC2,water,O,0.027039583641,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10439461,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2-oxocyclohexyl) 2-(6-methoxynaphthalen-2-yl)propanoate,c21c(cc(cc1)OC)ccc(c2)C(C(=O)OC3C(=O)CCCC3)C,water,O,0.000002552701,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8263295,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,2-dimethyl-1,3-dithiolan-4-yl)methyl carbamate",C1(SC(CS1)COC(=O)N)(C)C,water,O,0.005997910763,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,186840,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,4-dichlorophenoxy)ethanethioic S-acid",c1(c(ccc(c1)Cl)OCC(=S)O)Cl,water,O,0.002065380156,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,17590231,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,4-dioxo-1H-pyrimidin-5-yl)sulfamic acid",C1(=CNC(=O)NC1=O)NS(=O)(=O)O,water,O,0.017139573075,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,198331,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,4,5-Trichlorophenoxy)ethanethioic S-acid",c1c(c(cc(c1Cl)Cl)Cl)OCC(=S)O,water,O,0.00110407862,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295140,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-dichloro-4-iodophenoxy)-dimethoxy-sulfanylidenephosphorane",Ic1c(cc(c(c1)Cl)OP(=S)(OC)OC)Cl,water,O,0.000000239883,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,26915,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,5-dioxo-4,4-diphenyl-1-imidazolidinyl)methyl acetate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)C,water,O,0.000012387966,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,147574,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-dioxo-4,4-diphenyl-1-imidazolidinyl)methyl acetate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)C,water,O,0.000033884416,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,147574,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,5-Dioxo-4,4-diphenyl-1-imidazolidinyl)methyl butyrate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CCC,water,O,0.000020989399,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8536105,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-Dioxo-4,4-diphenyl-1-imidazolidinyl)methyl butyrate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CCC,water,O,0.00000851138,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8536105,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-Dioxo-4,4-diphenyl-1-imidazolidinyl)methyl heptanoate",CCCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3,water,O,0.000000501187,REF,,,REF1287-Wang 99 - S1,non-Ugi related,,,,,,,,,,,,n,,28295218,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-Dioxo-4,4-diphenyl-1-imidazolidinyl)methyl hexanoate",CCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3,water,O,0.00000128825,REF,,,REF1287-Wang 99 - S1,non-Ugi related,,,,,,,,,,,,n,,28295217,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,5-Dioxo-4,4-diphenyl-1-imidazolidinyl)methyl hexanoate",CCCCCC(=O)OCN1C(=O)C(NC1=O)(c2ccccc2)c3ccccc3,water,O,0.000000500035,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295217,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2,5-dioxo-4,4-diphenyl-1-imidazolidinyl)methyl propionate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CC,water,O,0.000008491805,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,139761,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,5-dioxo-4,4-diphenyl-1-imidazolidinyl)methyl propionate",O=C3N(C(=O)C(c1ccccc1)(c2ccccc2)N3)COC(=O)CC,water,O,0.000012302688,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,139761,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(2,6-dichlorophenyl)methanol",Clc1c(c(ccc1)Cl)CO,water,O,0.007943282347,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,25276,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2E)-1-(2-hydroxy-5-methoxyphenyl)-3-phenylprop-2-en-1-one,c1(c(ccc(c1)OC)O)C(=O)C=Cc2ccccc2,water,O,0.0000009977,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10306221,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2E)-2-(2,3,4,5-Tetrahydroxyhexylidene)hydrazinecarboxamide (non-preferred name)",CC(C(C(C(/C=N/NC(=O)N)O)O)O)O,water,O,0.201836636368,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295046,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2E)-2-(2,3,4,5-tetrahydroxypentylidene)hydrazinecarboxamide",C(C(C(CO)O)O)(C=NNC(=O)N)O,water,O,1.037528415818,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10468738,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2E)-2-(isonicotinoylhydrazono)propanoic acid,c1(ccncc1)C(=O)NN=C(C(=O)O)C,water,O,0.0004852885,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,4514321,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2E)-2-[(2-Hydroxy-1-naphthyl)methylene]hydrazinecarboximidamide,c21c(c(ccc1cccc2)O)C=NNC(=N)N,water,O,0.00349945167,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,11634185,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(2E)-2-[2-(Cyclohexyloxy)ethylidene]hydrazinecarboxamide,C1CCC(CC1)OC/C=N/NC(=O)N,water,O,0.01807174126,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295085,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2R)-3-(2,3-Dimethoxyphenoxy)-1,2-propanediol",c1(c(cccc1OC)OCC(CO)O)OC,water,O,0.001006931669,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8784747,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2S)-N,N-bis(2-chloroethyl)-2-oxo-1-oxa-3-aza-2$l^{5}-phosphacyclohexan-2-amine",P1(=O)(N(CCCl)CCCl)OCCCN1,water,O,0.153108746168,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,2804,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(2Z)-2-[(1,3-Thiazol-2-ylcarbonyl)hydrazono]propanoic acid",c1(sccn1)C(=O)NN=C(C(=O)O)C,water,O,0.011776059735,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10469266,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(3-nitrooxycyclohexyl) nitrate,C1(CC(O[N+](=O)[O-])CCC1)O[N+](=O)[O-],water,O,0.004677351413,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10438210,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(3,5-dimethyl-4-methylsulfanylphenyl) N-methylcarbamate",c1(cc(c(c(c1)C)SC)C)OC(=O)NC,water,O,0.00011994993,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,15417,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(3E,3'E)-4,4'-(1,2-cyclohexanediyldiimino)bis(3-penten-2-one)",C1(C(NC(=CC(=O)C)C)CCCC1)NC(=CC(=O)C)C,water,O,0.007744617978,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10468735,FALSE,,,,
1287,Wang 99 - S2,http://dx.doi.org/10.1021/ci800406y,"(3E,5E,7E)-4-Methyl-1,3,5,7-nonatetraene",C/C=C/C=C/C(=C/C=C)/C,water,O,0.008128305162,REF,,,REF1287-Wang 99 - S2,non-Ugi related,,,,,,,,,,,,n,,28295098,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(3E)-3-hexen-1-yl 2-(6-methoxy-2-naphthyl)propanoate,c21c(ccc(c1)C(C(=O)OCCC=CCC)C)cc(cc2)OC,water,O,0.000000044157,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8171240,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(3E)-4-[(4-Hydroxyphenyl)amino]-3-penten-2-one,c1(ccc(cc1)O)N=C(CC(=O)C)C,water,O,0.000260015956,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,4784746,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(3Z,3'Z)-4,4'-(1,4-Phenylenediimino)bis(3-penten-2-one)",c1(ccc(cc1)N=C(CC(=O)C)C)N=C(CC(=O)C)C,water,O,0.01300169578,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,6019821,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-Acetamidophenoxy)methyl ethyl carbonate,CCOC(=O)OCOc1ccc(cc1)NC(=O)C,water,O,0.003715352291,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,28295119,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-acetamidophenyl) ethyl carbonate,c1(ccc(cc1)NC(=O)C)OC(=O)OCC,water,O,0.002147830474,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,26442,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-aminophenyl)sulfonylthiourea,S(=O)(=O)(c1ccc(cc1)N)NC(=S)N,water,O,0.00572796031,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,2272143,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-aminophenyl)sulfonylurea,S(=O)(=O)(c1ccc(cc1)N)NC(=O)N,water,O,0.010814339513,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10567,FALSE,,,,
1287,Wang 99 - S1,http://dx.doi.org/10.1021/ci800406y,"(4-bromo-2,5-dichlorophenoxy)-dimethoxy-sulfanylidenephosphorane",Brc1c(cc(c(c1)Cl)OP(=S)(OC)OC)Cl,water,O,0.000000812831,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,15572,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-chloro-2-methylphenoxy)ethanethioic S-acid,c1(c(ccc(c1)Cl)OCC(=S)O)C,water,O,0.000691830971,REF,,,REF1287-Wang 99 - S3,non-Ugi related,,,,,,,,,,,,n,,18692928,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-dimethylamino-4-oxobutyl) benzoate,c1(ccccc1)C(=O)OCCCC(=O)N(C)C,water,O,0.059020108017,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,10439505,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4-nitrophenyl) diphenyl phosphate,P(=O)(Oc1ccc(cc1)[N+](=O)[O-])(Oc2ccccc2)Oc3ccccc3,water,O,0.000010990058,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,23536,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,"(4beta)-12,13-Epoxytrichothec-9-ene-4,15-diol",O1C[C@]14[C@@]2([C@H](O)C[C@H]4O[C@@H]3/C=C(/C)CC[C@]23CO)C,water,O,0.002477422058,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,8214117,FALSE,,,,
1287,Wang 99 - S3,http://dx.doi.org/10.1021/ci800406y,(4E)-4-(isonicotinoylhydrazono)pentanoic acid,c1(ccncc1)C(=O)NN=C(CCC(=O)O)C,water,O,0.025585858869,REF,,,REF1287,non-Ugi related,,,,,,,,,,,,n,,7848688,FALSE,,,,
